HSCode,Country,Y1920P
12119050,Australia,16.64
12119091,Australia,0.15
12119099,Australia,1.85
12122110,Australia,4.17
12129990,Australia,1.06
12149000,Australia,0
13019039,Australia,4.39
13019049,Australia,3.33
13021919,Australia,14.31
13021990,Australia,77.97
13023100,Australia,0
13023230,Australia,0
13023240,Australia,4.28
13023900,Australia,5.27
15050020,Australia,0
15091000,Australia,0
15121990,Australia,4.8
15141120,Australia,0
15159040,Australia,0
15159099,Australia,3.71
15162099,Australia,0.08
15179090,Australia,0
17021190,Australia,13.27
17029040,Australia,0.03
17029050,Australia,0
17029090,Australia,0.01
17041000,Australia,0.19
17049020,Australia,0
17049090,Australia,0.04
18050000,Australia,0
18069010,Australia,32.47
18069090,Australia,16.15
19012000,Australia,28.65
19019090,Australia,77.05
19021900,Australia,0
19023010,Australia,35.48
19023090,Australia,17.32
19024090,Australia,0.03
19041090,Australia,6.02
19042000,Australia,0.38
19049000,Australia,6.59
19051000,Australia,2.48
19053100,Australia,4.15
19053290,Australia,0.31
19054000,Australia,1.21
19059010,Australia,1.17
19059020,Australia,4.32
19059030,Australia,1.92
19059090,Australia,7.11
20019000,Australia,0
20021000,Australia,0
20041000,Australia,0.18
20049000,Australia,0
20055100,Australia,0
20059900,Australia,0.97
20079940,Australia,0.03
20079990,Australia,18.31
20081100,Australia,0.04
20081920,Australia,1073.07
20081990,Australia,0
20083090,Australia,2.09
20086000,Australia,0.03
20087000,Australia,0.47
20088000,Australia,0.83
20089300,Australia,0.12
20089911,Australia,0
